trn_no,acc_no,cus_no,brn_cd,trn_type,trn_dt,trn_time,amt,trn_desc,chn,gndr,age,trn_datetime
15981505867140099638,529288723961,6938209173.0,449836,DEBIT,2023-06-01 00:00:00+00:00,08:44:17,18.0,FUND TRANSFER,IB,MALE,49.0,2023-06-01 08:44:17
20174349475078869530,640599347910,7533323698.0,449836,DEBIT,2023-06-01 00:00:00+00:00,08:55:37,160.0,PAYMENT,IB,MALE,65.0,2023-06-01 08:55:37
19062912694073973046,434652538750,9682861216.0,449836,DEBIT,2023-06-01 00:00:00+00:00,08:58:04,41.0,FUND TRANSFER,IB,FEMALE,58.0,2023-06-01 08:58:04
91108933942198855522,616253286038,1247511662.0,449836,DEBIT,2023-06-01 00:00:00+00:00,09:07:51,100.0,FUND TRANSFER,IB,FEMALE,62.0,2023-06-01 09:07:51
23769720275604431169,869846809051,7848429970.0,449836,DEBIT,2023-06-01 00:00:00+00:00,09:16:34,159.0,FUND TRANSFER,IB,MALE,58.0,2023-06-01 09:16:34
73549907766378636192,268674498118,4732103968.0,728812,DEBIT,2023-06-01 00:00:00+00:00,09:20:50,189.42,PAYMENT,FPX,FEMALE,46.0,2023-06-01 09:20:50
32160837856142661529,492064485044,8420219386.0,449836,DEBIT,2023-06-01 00:00:00+00:00,09:29:13,92.0,FUND TRANSFER,IB,FEMALE,54.0,2023-06-01 09:29:13
80895434822313942020,434652538750,9682861216.0,449836,CREDIT,2023-06-01 00:00:00+00:00,09:31:05,1014.0,FUND TRANSFER,IB,FEMALE,58.0,2023-06-01 09:31:05
99106856654118064269,695805725787,4113495417.0,631233,DEBIT,2023-06-01 00:00:00+00:00,09:34:59,60.0,SALE DEBIT,POS,MALE,43.0,2023-06-01 09:34:59
69271554942946866303,568575048767,5580577262.0,339201,DEBIT,2023-06-01 00:00:00+00:00,09:35:08,1000.0,FUND TRANSFER,IB,FEMALE,65.0,2023-06-01 09:35:08
65830374346032555651,869846809051,7848429970.0,449836,DEBIT,2023-06-01 00:00:00+00:00,09:36:24,35.0,FUND TRANSFER,IB,MALE,58.0,2023-06-01 09:36:24
54566063545949532784,154598058970,1540947677.0,339201,CREDIT,2023-06-01 00:00:00+00:00,09:41:51,65.0,FUND TRANSFER,IB,FEMALE,55.0,2023-06-01 09:41:51
14623767884590529965,635372797039,4771336044.0,449836,DEBIT,2023-06-01 00:00:00+00:00,09:49:15,4000.0,PAYMENT,IB,FEMALE,51.0,2023-06-01 09:49:15
93579160238929380680,546573630371,2711720727.0,449836,DEBIT,2023-06-01 00:00:00+00:00,09:52:18,400.0,FUND TRANSFER,IB,FEMALE,60.0,2023-06-01 09:52:18
56857226492158214347,284349271485,2652412836.0,449836,DEBIT,2023-06-01 00:00:00+00:00,09:54:31,54.0,PAYMENT,IB,MALE,52.0,2023-06-01 09:54:31
19235176746537090686,568575048767,5580577262.0,339201,CREDIT,2023-06-01 00:00:00+00:00,09:54:46,460.0,FUND TRANSFER,IB,FEMALE,65.0,2023-06-01 09:54:46
37185332357396870331,566102207252,3755636753.0,631233,DEBIT,2023-06-01 00:00:00+00:00,10:03:12,50.43,SALE DEBIT,POS,MALE,61.0,2023-06-01 10:03:12
7653974427487095933,455197916236,7010923933.0,449836,CREDIT,2023-06-01 00:00:00+00:00,10:03:31,100.0,FUND TRANSFER,IB,FEMALE,48.0,2023-06-01 10:03:31
8700902926939504823,639200231916,5477187939.0,339201,DEBIT,2023-06-01 00:00:00+00:00,10:03:56,1000.0,FUND TRANSFER,IB,FEMALE,48.0,2023-06-01 10:03:56
91142205642432030466,455197916236,7010923933.0,449836,DEBIT,2023-06-01 00:00:00+00:00,10:05:56,50.0,FUND TRANSFER,IB,FEMALE,48.0,2023-06-01 10:05:56
8613946729400342434,568575048767,5580577262.0,339201,DEBIT,2023-06-01 00:00:00+00:00,10:10:52,665.0,FUND TRANSFER,IB,FEMALE,65.0,2023-06-01 10:10:52
65912102277017694676,154598058970,1540947677.0,449836,DEBIT,2023-06-01 00:00:00+00:00,10:13:08,15.0,FUND TRANSFER,IB,FEMALE,55.0,2023-06-01 10:13:08
18152064016594000093,154598058970,1540947677.0,449836,DEBIT,2023-06-01 00:00:00+00:00,10:14:53,10.0,FUND TRANSFER,IB,FEMALE,55.0,2023-06-01 10:14:53
50131302443540395090,568575048767,5580577262.0,339201,DEBIT,2023-06-01 00:00:00+00:00,10:20:20,100.0,FUND TRANSFER,IB,FEMALE,65.0,2023-06-01 10:20:20
92329071675213925138,529288723961,6938209173.0,291393,DEBIT,2023-06-01 00:00:00+00:00,10:35:51,20.0,SALE DEBIT,POS,MALE,49.0,2023-06-01 10:35:51
68554975424799763666,639200231916,5477187939.0,339201,DEBIT,2023-06-01 00:00:00+00:00,10:39:48,750.0,FUND TRANSFER,IB,FEMALE,48.0,2023-06-01 10:39:48
282617335613824139,639200231916,5477187939.0,339201,DEBIT,2023-06-01 00:00:00+00:00,10:41:56,800.0,FUND TRANSFER,IB,FEMALE,48.0,2023-06-01 10:41:56
97644011682355554034,154598058970,1540947677.0,449836,CREDIT,2023-06-01 00:00:00+00:00,11:01:34,1140.0,FUND TRANSFER,IB,FEMALE,55.0,2023-06-01 11:01:34
6759898895812161430,485876414710,2742357842.0,339201,DEBIT,2023-06-01 00:00:00+00:00,11:01:54,500.0,FUND TRANSFER,IB,MALE,53.0,2023-06-01 11:01:54
99858701316551015197,511078222839,2408137037.0,339201,CREDIT,2023-06-01 00:00:00+00:00,11:04:51,5000.0,FUND TRANSFER,IB,FEMALE,51.0,2023-06-01 11:04:51
79283845928536753925,845059346432,7650679788.0,449836,DEBIT,2023-06-01 00:00:00+00:00,11:07:46,1125.0,PAYMENT,IB,MALE,57.0,2023-06-01 11:07:46
28955888941673732404,268624875891,4360370438.0,449836,DEBIT,2023-06-01 00:00:00+00:00,11:09:32,200.0,PAYMENT,IB,MALE,59.0,2023-06-01 11:09:32
17498918786326443785,845059346432,7650679788.0,339201,DEBIT,2023-06-01 00:00:00+00:00,11:12:05,988.0,FUND TRANSFER,IB,MALE,57.0,2023-06-01 11:12:05
79448159386854509288,858313466609,9093271472.0,449836,CREDIT,2023-06-01 00:00:00+00:00,11:15:51,200.0,FUND TRANSFER,IB,FEMALE,48.0,2023-06-01 11:15:51
29280828224699420611,845059346432,7650679788.0,449836,DEBIT,2023-06-01 00:00:00+00:00,11:17:05,1500.0,PAYMENT,IB,MALE,57.0,2023-06-01 11:17:05
62574865121993539131,858313466609,9093271472.0,449836,CREDIT,2023-06-01 00:00:00+00:00,11:17:26,1000.0,FUND TRANSFER,IB,FEMALE,48.0,2023-06-01 11:17:26
40319184293367086171,845059346432,7650679788.0,449836,DEBIT,2023-06-01 00:00:00+00:00,11:18:45,800.0,PAYMENT,IB,MALE,57.0,2023-06-01 11:18:45
46196873546446261096,775562414273,7194794461.0,339201,CREDIT,2023-06-01 00:00:00+00:00,11:22:17,300.0,FUND TRANSFER,IB,MALE,40.0,2023-06-01 11:22:17
58675042811561947589,485876414710,2742357842.0,449836,DEBIT,2023-06-01 00:00:00+00:00,11:26:32,1630.0,PAYMENT,IB,MALE,53.0,2023-06-01 11:26:32
37328160313877536983,485876414710,2742357842.0,339201,DEBIT,2023-06-01 00:00:00+00:00,11:28:40,1000.0,FUND TRANSFER,IB,MALE,53.0,2023-06-01 11:28:40
8255825219711385595,918219393644,4768936283.0,449836,CREDIT,2023-06-01 00:00:00+00:00,11:29:01,1500.0,FUND TRANSFER,IB,MALE,46.0,2023-06-01 11:29:01
23531927569689581450,178018689070,3194353352.0,339201,DEBIT,2023-06-01 00:00:00+00:00,11:31:14,100.0,FUND TRANSFER,IB,FEMALE,49.0,2023-06-01 11:31:14
94757763871178459259,350294564861,1502753028.0,339201,DEBIT,2023-06-01 00:00:00+00:00,11:32:26,703.0,FUND TRANSFER,IB,MALE,54.0,2023-06-01 11:32:26
96078501663166208158,962553283252,3440929190.0,339201,DEBIT,2023-06-01 00:00:00+00:00,11:34:36,524.0,FUND TRANSFER,IB,FEMALE,52.0,2023-06-01 11:34:36
41904771459728119501,350294564861,1502753028.0,449836,DEBIT,2023-06-01 00:00:00+00:00,11:35:13,1000.0,FUND TRANSFER,IB,MALE,54.0,2023-06-01 11:35:13
72627314699331285825,841248765885,1614989927.0,449836,DEBIT,2023-06-01 00:00:00+00:00,11:37:45,900.0,FUND TRANSFER,IB,MALE,45.0,2023-06-01 11:37:45
14143643934807839217,962553283252,3440929190.0,449836,DEBIT,2023-06-01 00:00:00+00:00,11:41:34,298.0,PAYMENT,IB,FEMALE,52.0,2023-06-01 11:41:34
51856921318139465565,545603642451,1569132284.0,339201,CREDIT,2023-06-01 00:00:00+00:00,11:43:29,25.0,FUND TRANSFER,IB,MALE,36.0,2023-06-01 11:43:29
55908170413928697173,434652538750,9682861216.0,449836,DEBIT,2023-06-01 00:00:00+00:00,11:46:18,300.0,FUND TRANSFER,IB,FEMALE,58.0,2023-06-01 11:46:18
13312401916520032291,522778700730,1834078429.0,678972,DEBIT,2023-06-01 00:00:00+00:00,11:48:25,12.5,PAYMENT,MEPS,MALE,52.0,2023-06-01 11:48:25
74452148008737886622,279257640501,9747353759.0,449836,CREDIT,2023-06-01 00:00:00+00:00,11:49:41,800.0,FUND TRANSFER,IB,MALE,62.0,2023-06-01 11:49:41
57004570984349422791,918219393644,4768936283.0,449836,DEBIT,2023-06-01 00:00:00+00:00,11:56:36,1000.0,FUND TRANSFER,IB,MALE,46.0,2023-06-01 11:56:36
6042771647401162042,635372797039,4771336044.0,339201,DEBIT,2023-06-01 00:00:00+00:00,12:01:09,24.5,FUND TRANSFER,IB,FEMALE,51.0,2023-06-01 12:01:09
64586151108938798857,268674498118,4732103968.0,449836,DEBIT,2023-06-01 00:00:00+00:00,12:04:04,70.0,FUND TRANSFER,IB,FEMALE,46.0,2023-06-01 12:04:04
31621320537836061101,455197916236,7010923933.0,631233,DEBIT,2023-06-01 00:00:00+00:00,12:04:25,20.85,SALE DEBIT,POS,FEMALE,48.0,2023-06-01 12:04:25
31373532966471761456,635372797039,4771336044.0,449836,DEBIT,2023-06-01 00:00:00+00:00,12:08:05,466.0,FUND TRANSFER,IB,FEMALE,51.0,2023-06-01 12:08:05
14401661063518636292,975681872782,8377869784.0,339201,DEBIT,2023-06-01 00:00:00+00:00,12:09:28,90.0,FUND TRANSFER,IB,MALE,53.0,2023-06-01 12:09:28
5987030653821072392,635372797039,4771336044.0,339201,DEBIT,2023-06-01 00:00:00+00:00,12:12:57,158.4,FUND TRANSFER,IB,FEMALE,51.0,2023-06-01 12:12:57
53488775804770777282,975681872782,8377869784.0,449836,DEBIT,2023-06-01 00:00:00+00:00,12:23:00,136.75,PAYMENT,IB,MALE,53.0,2023-06-01 12:23:00
12012046592595526464,858313466609,9093271472.0,449836,DEBIT,2023-06-01 00:00:00+00:00,12:26:33,116.4,FUND TRANSFER,IB,FEMALE,48.0,2023-06-01 12:26:33
1452753241614051023,858313466609,9093271472.0,449836,DEBIT,2023-06-01 00:00:00+00:00,12:30:49,86.4,FUND TRANSFER,IB,FEMALE,48.0,2023-06-01 12:30:49
37676146783096184762,858313466609,9093271472.0,449836,DEBIT,2023-06-01 00:00:00+00:00,12:33:39,82.0,FUND TRANSFER,IB,FEMALE,48.0,2023-06-01 12:33:39
76635862449632760945,635372797039,4771336044.0,449836,CREDIT,2023-06-01 00:00:00+00:00,12:33:54,877.0,FUND TRANSFER,IB,FEMALE,51.0,2023-06-01 12:33:54
9164912115768563911,568575048767,5580577262.0,339201,DEBIT,2023-06-01 00:00:00+00:00,12:33:57,600.0,FUND TRANSFER,IB,FEMALE,65.0,2023-06-01 12:33:57
81147632048779871577,546573630371,2711720727.0,339201,DEBIT,2023-06-01 00:00:00+00:00,12:35:27,58.0,FUND TRANSFER,IB,FEMALE,60.0,2023-06-01 12:35:27
47077449743129922655,858313466609,9093271472.0,449836,DEBIT,2023-06-01 00:00:00+00:00,12:35:40,172.8,FUND TRANSFER,IB,FEMALE,48.0,2023-06-01 12:35:40
83854680054631017175,858313466609,9093271472.0,449836,DEBIT,2023-06-01 00:00:00+00:00,12:36:58,867.6,FUND TRANSFER,IB,FEMALE,48.0,2023-06-01 12:36:58
53906685144894587438,858313466609,9093271472.0,449836,DEBIT,2023-06-01 00:00:00+00:00,12:38:53,172.8,FUND TRANSFER,IB,FEMALE,48.0,2023-06-01 12:38:53
5837287473988361720,635372797039,4771336044.0,449836,DEBIT,2023-06-01 00:00:00+00:00,12:38:57,900.0,PAYMENT,IB,FEMALE,51.0,2023-06-01 12:38:57
67102343664939469018,858313466609,9093271472.0,449836,DEBIT,2023-06-01 00:00:00+00:00,12:39:50,259.2,FUND TRANSFER,IB,FEMALE,48.0,2023-06-01 12:39:50
23649727757354645271,545603642451,1569132284.0,449836,DEBIT,2023-06-01 00:00:00+00:00,12:42:42,14.5,FUND TRANSFER,IB,MALE,36.0,2023-06-01 12:42:42
57984114676258816138,845059346432,7650679788.0,644955,DEBIT,2023-06-01 00:00:00+00:00,13:02:14,197.7,FUND TRANSFER,IB,MALE,57.0,2023-06-01 13:02:14
50423963089039121012,522718116615,1115484504.0,449836,CREDIT,2023-06-01 00:00:00+00:00,13:03:29,500.0,FUND TRANSFER,IB,MALE,39.0,2023-06-01 13:03:29
7131177987193612455,135566817347,6911974770.0,449836,DEBIT,2023-06-01 00:00:00+00:00,13:08:43,100.0,PAYMENT,IB,FEMALE,51.0,2023-06-01 13:08:43
43750547617265346301,522718116615,1115484504.0,449836,DEBIT,2023-06-01 00:00:00+00:00,13:09:19,100.0,FUND TRANSFER,IB,MALE,39.0,2023-06-01 13:09:19
37090949182423451503,209196571499,8470047487.0,449836,CREDIT,2023-06-01 00:00:00+00:00,13:14:49,200.0,FUND TRANSFER,IB,MALE,54.0,2023-06-01 13:14:49
81005436045225025959,455197916236,7010923933.0,631233,DEBIT,2023-06-01 00:00:00+00:00,13:28:39,22.0,SALE DEBIT,POS,FEMALE,48.0,2023-06-01 13:28:39
54211292607510297810,986899146807,9005567668.0,449836,DEBIT,2023-06-01 00:00:00+00:00,13:39:03,150.0,FUND TRANSFER,IB,MALE,60.0,2023-06-01 13:39:03
8365237288534267695,986899146807,9005567668.0,449836,DEBIT,2023-06-01 00:00:00+00:00,13:41:54,10000.0,FUND TRANSFER,IB,MALE,60.0,2023-06-01 13:41:54
97435310838815215355,522718116615,1115484504.0,339201,DEBIT,2023-06-01 00:00:00+00:00,13:42:28,400.0,FUND TRANSFER,IB,MALE,39.0,2023-06-01 13:42:28
34086398918874456287,568575048767,5580577262.0,449836,CREDIT,2023-06-01 00:00:00+00:00,13:43:23,630.0,FUND TRANSFER,IB,FEMALE,65.0,2023-06-01 13:43:23
21179683129356606921,154598058970,1540947677.0,449836,DEBIT,2023-06-01 00:00:00+00:00,13:46:37,830.0,FUND TRANSFER,IB,FEMALE,55.0,2023-06-01 13:46:37
63017753697076370528,869846809051,7848429970.0,449836,DEBIT,2023-06-01 00:00:00+00:00,13:55:13,26.0,FUND TRANSFER,IB,MALE,58.0,2023-06-01 13:55:13
99582586116772926270,767702055556,7237011585.0,449836,DEBIT,2023-06-01 00:00:00+00:00,14:02:24,800.0,FUND TRANSFER,IB,FEMALE,50.0,2023-06-01 14:02:24
45727401882803461530,767702055556,7237011585.0,449836,DEBIT,2023-06-01 00:00:00+00:00,14:02:55,200.0,PAYMENT,IB,FEMALE,50.0,2023-06-01 14:02:55
2752323989342991497,279257640501,9747353759.0,339201,DEBIT,2023-06-01 00:00:00+00:00,14:09:40,400.0,FUND TRANSFER,IB,MALE,62.0,2023-06-01 14:09:40
71004904681132755178,119414046114,3481072690.0,678972,DEBIT,2023-06-01 00:00:00+00:00,14:16:55,1060.0,PAYMENT,MEPS,MALE,46.0,2023-06-01 14:16:55
17809848236139455501,695805725787,4113495417.0,339201,DEBIT,2023-06-01 00:00:00+00:00,14:25:46,150.0,FUND TRANSFER,IB,MALE,43.0,2023-06-01 14:25:46
51074528538682871336,268624875891,4360370438.0,449836,DEBIT,2023-06-01 00:00:00+00:00,14:26:37,1050.0,FUND TRANSFER,IB,MALE,59.0,2023-06-01 14:26:37
84361827055440215939,481297918621,8636221245.0,339201,DEBIT,2023-06-01 00:00:00+00:00,14:27:10,100.0,FUND TRANSFER,IB,FEMALE,60.0,2023-06-01 14:27:10
2343298062279125590,823446475077,2681440854.0,449836,DEBIT,2023-06-01 00:00:00+00:00,14:27:51,60.0,FUND TRANSFER,IB,FEMALE,50.0,2023-06-01 14:27:51
76335067474688749284,154598058970,1540947677.0,339201,CREDIT,2023-06-01 00:00:00+00:00,14:39:23,200.0,FUND TRANSFER,IB,FEMALE,55.0,2023-06-01 14:39:23
64249725376697828726,279257640501,9747353759.0,339201,DEBIT,2023-06-01 00:00:00+00:00,14:40:20,500.0,FUND TRANSFER,IB,MALE,62.0,2023-06-01 14:40:20
84953578946339496066,522778700730,1834078429.0,716706,DEBIT,2023-06-01 00:00:00+00:00,14:40:41,30.2,PAYMENT,MEPS,MALE,52.0,2023-06-01 14:40:41
36179837804500240206,914774406858,8495957670.0,631233,DEBIT,2023-06-01 00:00:00+00:00,14:42:19,100.0,SALE DEBIT,POS,MALE,63.0,2023-06-01 14:42:19
44345507099694742744,841248765885,1614989927.0,339201,DEBIT,2023-06-01 00:00:00+00:00,14:45:25,56.5,FUND TRANSFER,IB,MALE,45.0,2023-06-01 14:45:25
14859524202220495249,154598058970,1540947677.0,339201,DEBIT,2023-06-01 00:00:00+00:00,14:50:11,559.0,FUND TRANSFER,IB,FEMALE,55.0,2023-06-01 14:50:11
76213044758884927280,268674498118,4732103968.0,449836,DEBIT,2023-06-01 00:00:00+00:00,15:02:30,1590.0,FUND TRANSFER,IB,FEMALE,46.0,2023-06-01 15:02:30
83001892442399787411,601025939960,3954061307.0,339201,CREDIT,2023-06-01 00:00:00+00:00,15:03:52,330.0,FUND TRANSFER,IB,FEMALE,43.0,2023-06-01 15:03:52
75490588865238410690,545603642451,1569132284.0,449836,DEBIT,2023-06-01 00:00:00+00:00,15:17:29,16.0,FUND TRANSFER,IB,MALE,36.0,2023-06-01 15:17:29
51711553394746229533,954258031833,7400292419.0,339201,DEBIT,2023-06-01 00:00:00+00:00,15:17:34,3200.0,FUND TRANSFER,IB,FEMALE,65.0,2023-06-01 15:17:34
63887436189315805480,695805725787,4113495417.0,339201,DEBIT,2023-06-01 00:00:00+00:00,15:19:08,55.0,FUND TRANSFER,IB,MALE,43.0,2023-06-01 15:19:08
81589152506788279091,954258031833,7400292419.0,449836,DEBIT,2023-06-01 00:00:00+00:00,15:19:10,2000.0,PAYMENT,IB,FEMALE,65.0,2023-06-01 15:19:10
38912013315369188652,455197916236,7010923933.0,716706,DEBIT,2023-06-01 00:00:00+00:00,15:23:55,152.0,PAYMENT,MEPS,FEMALE,48.0,2023-06-01 15:23:55
81066753176733292751,942108413560,8726143159.0,396509,CREDIT,2023-06-01 00:00:00+00:00,15:27:49,2950.0,CDEP,BRNCH / ATM,FEMALE,50.0,2023-06-01 15:27:49
99397797802563177406,601025939960,3954061307.0,291393,DEBIT,2023-06-01 00:00:00+00:00,15:37:03,23.8,SALE DEBIT,POS,FEMALE,43.0,2023-06-01 15:37:03
37280149868926249702,942108413560,8726143159.0,678972,DEBIT,2023-06-01 00:00:00+00:00,15:45:58,19.6,PAYMENT,MEPS,FEMALE,50.0,2023-06-01 15:45:58
50403215773246188122,284349271485,2652412836.0,449836,DEBIT,2023-06-01 00:00:00+00:00,15:46:39,32.5,FUND TRANSFER,IB,MALE,52.0,2023-06-01 15:46:39
19501850171218659381,546573630371,2711720727.0,449836,CREDIT,2023-06-01 00:00:00+00:00,15:47:14,100.0,FUND TRANSFER,IB,FEMALE,60.0,2023-06-01 15:47:14
38675038789891401173,302549400078,7304841028.0,449836,DEBIT,2023-06-01 00:00:00+00:00,15:54:53,250.0,FUND TRANSFER,IB,MALE,48.0,2023-06-01 15:54:53
32341301088195787336,302075399531,6998723387.0,339201,DEBIT,2023-06-01 00:00:00+00:00,15:56:53,140.0,FUND TRANSFER,IB,FEMALE,50.0,2023-06-01 15:56:53
92508739097676452308,419900949060,8900771748.0,631233,DEBIT,2023-06-01 00:00:00+00:00,16:00:25,70.0,SALE DEBIT,POS,FEMALE,54.0,2023-06-01 16:00:25
10957508643915872229,419900949060,8900771748.0,449836,DEBIT,2023-06-01 00:00:00+00:00,16:03:57,4850.0,PAYMENT,IB,FEMALE,54.0,2023-06-01 16:03:57
73436587374776766515,767702055556,7237011585.0,449836,CREDIT,2023-06-01 00:00:00+00:00,16:11:45,1300.0,FUND TRANSFER,IB,FEMALE,50.0,2023-06-01 16:11:45
41653927179448542388,529288723961,6938209173.0,291393,DEBIT,2023-06-01 00:00:00+00:00,16:12:31,1.5,SALE DEBIT,POS,MALE,49.0,2023-06-01 16:12:31
23478134629889840077,279257640501,9747353759.0,449836,DEBIT,2023-06-01 00:00:00+00:00,16:17:16,4730.0,FUND TRANSFER,IB,MALE,62.0,2023-06-01 16:17:16
79427024397695727773,169361929061,7185214263.0,449836,CREDIT,2023-06-01 00:00:00+00:00,16:17:40,350.0,FUND TRANSFER,IB,MALE,42.0,2023-06-01 16:17:40
1733624634425631774,362298714145,3051976433.0,162870,CREDIT,2023-06-01 00:00:00+00:00,16:21:13,3973.85,SALARY,IB,MALE,52.0,2023-06-01 16:21:13
43278354722734536798,869846809051,7848429970.0,449836,DEBIT,2023-06-01 00:00:00+00:00,16:22:35,270.0,FUND TRANSFER,IB,MALE,58.0,2023-06-01 16:22:35
76237142995394056997,975681872782,8377869784.0,631233,DEBIT,2023-06-01 00:00:00+00:00,16:23:39,50.0,SALE DEBIT,POS,MALE,53.0,2023-06-01 16:23:39
71099300737465718017,485876414710,2742357842.0,449836,CREDIT,2023-06-01 00:00:00+00:00,16:32:29,620.0,FUND TRANSFER,IB,MALE,53.0,2023-06-01 16:32:29
81495288316883363175,529288723961,6938209173.0,291393,DEBIT,2023-06-01 00:00:00+00:00,16:35:18,20.0,SALE DEBIT,POS,MALE,49.0,2023-06-01 16:35:18
40741130601610963861,635372797039,4771336044.0,449836,CREDIT,2023-06-01 00:00:00+00:00,16:35:31,1500.0,FUND TRANSFER,IB,FEMALE,51.0,2023-06-01 16:35:31
34998893065502930250,178018689070,3194353352.0,449836,DEBIT,2023-06-01 00:00:00+00:00,17:00:03,314.0,FUND TRANSFER,IB,FEMALE,49.0,2023-06-01 17:00:03
89053762984775096117,268674498118,4732103968.0,449836,DEBIT,2023-06-01 00:00:00+00:00,17:01:06,87.0,FUND TRANSFER,IB,FEMALE,46.0,2023-06-01 17:01:06
