trn_no|acc_no|cus_no|brn_cd|trn_type|trn_dt|trn_time|amt|trn_desc|chn|gndr|age
10255179437736563001|775562414273|7194794461|00449836|CREDIT|2023-08-06T00:00:00.000Z|124337|3000|FUND TRANSFER|IB|MALE|40
1025793818218402327|743261936180|4407144912|00449836|CREDIT|2023-06-29T00:00:00.000Z|83750|3100|FUND TRANSFER|IB|MALE|57
10265287459655282785|183264629830|9919501476|00449836|DEBIT|2023-08-21T00:00:00.000Z|33701|10000|PAYMENT|IB|MALE|53
1027901288965221270|545603642451|1569132284|00449836|DEBIT|2023-08-08T00:00:00.000Z|213848|16|FUND TRANSFER|IB|MALE|36
10279193894208991442|840526620294|2734670470|00339201|DEBIT|2023-08-17T00:00:00.000Z|144041|350|FUND TRANSFER|IB|FEMALE|25
10281719783776571190|481297918621|8636221245|00449836|DEBIT|2023-08-23T00:00:00.000Z|210752|7980|FUND TRANSFER|IB|FEMALE|60
10294613739504915863|989491322260|4615606795|00449836|DEBIT|2023-08-31T00:00:00.000Z|103354|805|FUND TRANSFER|IB|MALE|65
10297861916901141798|513072841203|5591584008|00449836|CREDIT|2023-07-01T00:00:00.000Z|231238|70|FUND TRANSFER|IB|MALE|48
1029917023554570664|775562414273|7194794461|00449836|DEBIT|2023-06-01T00:00:00.000Z|190618|278|PAYMENT|IB|MALE|40
10300226958212555886|481297918621|8636221245|00339201|CREDIT|2023-08-22T00:00:00.000Z|33511|1000|FUND TRANSFER|IB|FEMALE|60
1030395246317859499|449213583433|4825468780|00449836|DEBIT|2023-06-03T00:00:00.000Z|144229|100|FUND TRANSFER|IB|MALE|51
10304318237091912475|601025939960|3954061307|00339201|DEBIT|2023-08-20T00:00:00.000Z|135933|27.4|FUND TRANSFER|IB|FEMALE|43
10305422188251044968|767702055556|7237011585|00449836|CREDIT|2023-06-28T00:00:00.000Z|190014|10000|FUND TRANSFER|IB|FEMALE|50
10307131348305719150|321747212252|2967400153|00339201|DEBIT|2023-08-30T00:00:00.000Z|104818|200|FUND TRANSFER|IB|MALE|60
10346449284661114440|535212473978|8744047562|00339201|DEBIT|2023-08-16T00:00:00.000Z|173516|1276.5|FUND TRANSFER|IB|MALE|40
10350348013811908429|840526620294|2734670470|00339201|CREDIT|2023-06-29T00:00:00.000Z|115407|50|FUND TRANSFER|IB|FEMALE|25
10361325014912318524|847156074323|7223055588|00449836|DEBIT|2023-07-04T00:00:00.000Z|212040|197|FUND TRANSFER|IB|MALE|60
10361368337790505493|209196571499|8470047487|00339201|CREDIT|2023-06-20T00:00:00.000Z|210214|1500|FUND TRANSFER|IB|MALE|54
10363816952108279185|268674498118|4732103968|00449836|CREDIT|2023-06-25T00:00:00.000Z|121211|100|FUND TRANSFER|IB|FEMALE|46
1037307581873040395|268624875891|4360370438|00449836|DEBIT|2023-08-07T00:00:00.000Z|130723|209.45|FUND TRANSFER|IB|MALE|59
10379450875431594264|135566817347|6911974770|00449836|DEBIT|2023-06-26T00:00:00.000Z|111937|218.15|PAYMENT|IB|FEMALE|51
10391538874813997948|350294564861|1502753028|00449836|CREDIT|2023-07-05T00:00:00.000Z|110657|200|FUND TRANSFER|IB|MALE|54
1039475642708252785|535212473978|8744047562|00449836|DEBIT|2023-08-16T00:00:00.000Z|173647|1800|FUND TRANSFER|IB|MALE|40
1039706813703281214|975681872782|8377869784|00449836|DEBIT|2023-06-21T00:00:00.000Z|92221|100|FUND TRANSFER|IB|MALE|53
10398777118796192751|268674498118|4732103968|00449836|CREDIT|2023-07-06T00:00:00.000Z|135745|100|FUND TRANSFER|IB|FEMALE|46
10399303286534105296|350294564861|1502753028|00339201|CREDIT|2023-08-02T00:00:00.000Z|204824|100|FUND TRANSFER|IB|MALE|54
10405697693995994928|743261936180|4407144912|00449836|CREDIT|2023-07-14T00:00:00.000Z|195445|900|FUND TRANSFER|IB|MALE|57
10412897909582545886|545603642451|1569132284|00449836|DEBIT|2023-06-21T00:00:00.000Z|201537|100|PAYMENT|IB|MALE|36
10431518213297472335|584302038586|5570333082|00339201|CREDIT|2023-06-18T00:00:00.000Z|154032|50|FUND TRANSFER|IB|MALE|45
1044040846657996827|976461201839|2456185095|00339201|DEBIT|2023-06-07T00:00:00.000Z|140856|800|FUND TRANSFER|IB|FEMALE|46
10440935363950923908|640599347910|7533323698|00449836|CREDIT|2023-07-10T00:00:00.000Z|221856|30|FUND TRANSFER|IB|MALE|65
10450118088051410274|302075399531|6998723387|00339201|CREDIT|2023-08-04T00:00:00.000Z|93412|1200|FUND TRANSFER|IB|FEMALE|50
10453385189293881642|743261936180|4407144912|00449836|DEBIT|2023-06-29T00:00:00.000Z|81943|4500|FUND TRANSFER|IB|MALE|57
10453693925340757832|463122589215|9926739320|00339201|CREDIT|2023-07-08T00:00:00.000Z|90717|1600|FUND TRANSFER|IB|FEMALE|53
1045792349205144087|260774977738|8381517036|00339201|CREDIT|2023-07-24T00:00:00.000Z|124225|100|FUND TRANSFER|IB|MALE|59
10464976565093925|302075399531|6998723387|00339201|DEBIT|2023-07-18T00:00:00.000Z|184938|100|FUND TRANSFER|IB|FEMALE|50
1047046434869194877|743261936180|4407144912|00449836|CREDIT|2023-06-21T00:00:00.000Z|163333|250|FUND TRANSFER|IB|MALE|57
10476554042084190833|841248765885|1614989927|00449836|DEBIT|2023-07-06T00:00:00.000Z|174533|140|FUND TRANSFER|IB|MALE|45
1047973169890168616|914774406858|8495957670|00449836|DEBIT|2023-06-08T00:00:00.000Z|95447|1320|FUND TRANSFER|IB|MALE|63
10483435271274510142|601025939960|3954061307|00449836|CREDIT|2023-06-05T00:00:00.000Z|90541|500|FUND TRANSFER|IB|FEMALE|43
10495188065143973852|537938736476|1979091275|00339201|DEBIT|2023-08-13T00:00:00.000Z|203154|35|FUND TRANSFER|IB|FEMALE|47
1051955782515383774|696282610710|3911304863|00339201|DEBIT|2023-07-11T00:00:00.000Z|135825|1330|FUND TRANSFER|IB|FEMALE|49
10520771443546837054|350294564861|1502753028|00449836|DEBIT|2023-07-24T00:00:00.000Z|141222|75|PAYMENT|IB|MALE|54
10525941037989477835|268624875891|4360370438|00449836|DEBIT|2023-08-28T00:00:00.000Z|95404|279.55|PAYMENT|IB|MALE|59
10532258025986388307|530374001406|2854104473|00449836|DEBIT|2023-08-27T00:00:00.000Z|162334|160|FUND TRANSFER|IB|MALE|52
10539062521457698975|568575048767|5580577262|00339201|DEBIT|2023-07-04T00:00:00.000Z|224101|70|FUND TRANSFER|IB|FEMALE|65
10541021311678869633|279257640501|9747353759|00449836|DEBIT|2023-07-22T00:00:00.000Z|203019|1073.05|FUND TRANSFER|IB|MALE|62
10549017098267099597|193345169178|7513227576|00449836|DEBIT|2023-06-14T00:00:00.000Z|90844|120|FUND TRANSFER|IB|MALE|36
1057040488272353576|841248765885|1614989927|00339201|DEBIT|2023-06-26T00:00:00.000Z|162218|2750|FUND TRANSFER|IB|MALE|45
10575433239607363360|455197916236|7010923933|00449836|DEBIT|2023-06-16T00:00:00.000Z|142704|38|FUND TRANSFER|IB|FEMALE|48
10580410743493254178|918219393644|4768936283|00339201|DEBIT|2023-08-21T00:00:00.000Z|213630|47|FUND TRANSFER|IB|MALE|46
10580970786236984911|284349271485|2652412836|00339201|DEBIT|2023-08-04T00:00:00.000Z|210634|100|FUND TRANSFER|IB|MALE|52
106093953902717688|507659392231|2349245979|00339201|DEBIT|2023-07-15T00:00:00.000Z|54722|470|FUND TRANSFER|IB|MALE|58
1061263974786659172|123246768948|8955113016|00449836|CREDIT|2023-08-04T00:00:00.000Z|142404|57|FUND TRANSFER|IB|FEMALE|32
1061555427614865289|640599347910|7533323698|00339201|DEBIT|2023-08-10T00:00:00.000Z|135250|10|FUND TRANSFER|IB|MALE|65
10620351189644362433|823446475077|2681440854|00449836|DEBIT|2023-08-17T00:00:00.000Z|225046|250|PAYMENT|IB|FEMALE|50
10631484477109114244|350294564861|1502753028|00449836|CREDIT|2023-07-14T00:00:00.000Z|145646|80|FUND TRANSFER|IB|MALE|54
10633906421601408872|673125233646|2631583662|00449836|DEBIT|2023-06-26T00:00:00.000Z|220325|2475|FUND TRANSFER|IB|MALE|63
10635346169986072483|975681872782|8377869784|00449836|DEBIT|2023-06-06T00:00:00.000Z|72851|1200|FUND TRANSFER|IB|MALE|53
10637299919558924369|513072841203|5591584008|00449836|CREDIT|2023-08-10T00:00:00.000Z|101535|130|FUND TRANSFER|IB|MALE|48
10639480009917915014|268674498118|4732103968|00449836|DEBIT|2023-08-25T00:00:00.000Z|153410|63|FUND TRANSFER|IB|FEMALE|46
1064457768693876681|260774977738|8381517036|00339201|CREDIT|2023-07-23T00:00:00.000Z|173240|50|FUND TRANSFER|IB|MALE|59
10651390744363015205|568575048767|5580577262|00339201|DEBIT|2023-06-03T00:00:00.000Z|230105|120|FUND TRANSFER|IB|FEMALE|65
10657338984948152988|918219393644|4768936283|00339201|DEBIT|2023-07-18T00:00:00.000Z|105343|350|FUND TRANSFER|IB|MALE|46
10661804969346983173|284349271485|2652412836|00449836|DEBIT|2023-07-22T00:00:00.000Z|100744|84|FUND TRANSFER|IB|MALE|52
10677151739746980788|513072841203|5591584008|00449836|CREDIT|2023-07-06T00:00:00.000Z|152639|60|FUND TRANSFER|IB|MALE|48
10686846095538971439|302075399531|6998723387|00339201|CREDIT|2023-06-15T00:00:00.000Z|153313|650|FUND TRANSFER|IB|FEMALE|50
10690573408854057466|743261936180|4407144912|00449836|CREDIT|2023-06-07T00:00:00.000Z|231353|250|FUND TRANSFER|IB|MALE|57
1070004998093288425|193345169178|7513227576|00449836|DEBIT|2023-06-15T00:00:00.000Z|131451|250|FUND TRANSFER|IB|MALE|36
10701396669503090544|522718116615|1115484504|00449836|DEBIT|2023-08-29T00:00:00.000Z|33828|300|FUND TRANSFER|IB|MALE|39
10706649036507580786|566102207252|3755636753|00449836|DEBIT|2023-07-04T00:00:00.000Z|95346|600|FUND TRANSFER|IB|MALE|61
10712788261289646698|507659392231|2349245979|00339201|DEBIT|2023-06-28T00:00:00.000Z|154547|5000|FUND TRANSFER|IB|MALE|58
10717598459859465453|546573630371|2711720727|00449836|DEBIT|2023-08-27T00:00:00.000Z|134241|10|FUND TRANSFER|IB|FEMALE|60
10718190183969156089|568575048767|5580577262|00339201|DEBIT|2023-07-24T00:00:00.000Z|101600|310|FUND TRANSFER|IB|FEMALE|65
10718768818987340701|268624875891|4360370438|00449836|DEBIT|2023-07-06T00:00:00.000Z|145426|120|FUND TRANSFER|IB|MALE|59
107203507909102146|823446475077|2681440854|00449836|DEBIT|2023-07-10T00:00:00.000Z|132224|35|FUND TRANSFER|IB|FEMALE|50
10723013688669558013|268674498118|4732103968|00339201|DEBIT|2023-07-12T00:00:00.000Z|171853|60|FUND TRANSFER|IB|FEMALE|46
10734547038682133816|485876414710|2742357842|00449836|CREDIT|2023-08-19T00:00:00.000Z|182202|1800|FUND TRANSFER|IB|MALE|53
10735863488143096677|405120140066|1603342558|00449836|CREDIT|2023-06-23T00:00:00.000Z|134145|150|FUND TRANSFER|IB|FEMALE|45
10755390089641755082|591854648200|4345538790|00339201|CREDIT|2023-07-02T00:00:00.000Z|215539|500|FUND TRANSFER|IB|MALE|53
10757424678370097956|841248765885|1614989927|00339201|DEBIT|2023-08-26T00:00:00.000Z|210952|87.5|FUND TRANSFER|IB|MALE|45
10761314222511394393|535212473978|8744047562|00449836|DEBIT|2023-06-06T00:00:00.000Z|92737|100|PAYMENT|IB|MALE|40
10762845148175371540|784356329044|3299539245|00449836|DEBIT|2023-06-14T00:00:00.000Z|75859|8000|FUND TRANSFER|IB|FEMALE|62
10765675821075039433|601025939960|3954061307|00449836|DEBIT|2023-08-05T00:00:00.000Z|180459|16|FUND TRANSFER|IB|FEMALE|43
10772774747958272129|976461201839|2456185095|00449836|CREDIT|2023-08-17T00:00:00.000Z|104127|1000|FUND TRANSFER|IB|FEMALE|46
10783425372742288312|350294564861|1502753028|00449836|CREDIT|2023-07-18T00:00:00.000Z|81056|17|FUND TRANSFER|IB|MALE|54
10789844506506996933|568575048767|5580577262|00339201|CREDIT|2023-08-06T00:00:00.000Z|174944|200|FUND TRANSFER|IB|FEMALE|65
10810028193930520994|522718116615|1115484504|00339201|DEBIT|2023-08-03T00:00:00.000Z|213528|25|FUND TRANSFER|IB|MALE|39
1081862606549801490|183264629830|9919501476|00339201|DEBIT|2023-06-01T00:00:00.000Z|234926|10000|FUND TRANSFER|IB|MALE|53
10824449773947970764|673125233646|2631583662|00339201|DEBIT|2023-08-15T00:00:00.000Z|231210|6266|FUND TRANSFER|IB|MALE|63
10826069223525911284|455197916236|7010923933|00449836|CREDIT|2023-06-08T00:00:00.000Z|205105|680|FUND TRANSFER|IB|FEMALE|48
10831370219795109860|321747212252|2967400153|00449836|DEBIT|2023-06-20T00:00:00.000Z|131032|915|FUND TRANSFER|IB|MALE|60
10841442096045288734|434652538750|9682861216|00449836|DEBIT|2023-07-08T00:00:00.000Z|155750|18.6|FUND TRANSFER|IB|FEMALE|58
10842670285326857389|279257640501|9747353759|00339201|DEBIT|2023-07-07T00:00:00.000Z|141304|1000|FUND TRANSFER|IB|MALE|62
10854367283483322824|513072841203|5591584008|00449836|CREDIT|2023-06-26T00:00:00.000Z|112400|70|FUND TRANSFER|IB|MALE|48
10879825956523869857|154598058970|1540947677|00339201|DEBIT|2023-08-28T00:00:00.000Z|105320|100|FUND TRANSFER|IB|FEMALE|55
1088081506547816152|975681872782|8377869784|00449836|DEBIT|2023-07-20T00:00:00.000Z|100447|120|FUND TRANSFER|IB|MALE|53
10881046373544010162|709400571680|4071104958|00339201|CREDIT|2023-07-12T00:00:00.000Z|94515|9000|FUND TRANSFER|IB|MALE|58
10897114676796271126|511078222839|2408137037|00449836|CREDIT|2023-06-19T00:00:00.000Z|142625|12.1|FUND TRANSFER|IB|FEMALE|51
10898924503984826922|119414046114|3481072690|00339201|CREDIT|2023-06-26T00:00:00.000Z|135015|2000|FUND TRANSFER|IB|MALE|46
10900895451482330182|455197916236|7010923933|00339201|DEBIT|2023-08-10T00:00:00.000Z|224513|130|FUND TRANSFER|IB|FEMALE|48
10907615489156446|841248765885|1614989927|00449836|DEBIT|2023-07-23T00:00:00.000Z|40308|500|PAYMENT|IB|MALE|45
10910081843707656637|655843483502|6112826041|00449836|DEBIT|2023-08-14T00:00:00.000Z|100357|104.95|PAYMENT|IB|MALE|62
1091040091429098497|302075399531|6998723387|00449836|DEBIT|2023-07-28T00:00:00.000Z|81128|1450|FUND TRANSFER|IB|FEMALE|50
10913422518342557901|302549400078|7304841028|00449836|CREDIT|2023-08-14T00:00:00.000Z|111900|1700|FUND TRANSFER|IB|MALE|48
10921907495322882725|513072841203|5591584008|00449836|DEBIT|2023-08-31T00:00:00.000Z|121147|100|FUND TRANSFER|IB|MALE|48
10927749188908314348|135566817347|6911974770|00449836|DEBIT|2023-06-11T00:00:00.000Z|111631|200|FUND TRANSFER|IB|FEMALE|51
1093740942945653390|453766225562|7550198501|00339201|DEBIT|2023-08-28T00:00:00.000Z|72156|100|FUND TRANSFER|IB|MALE|54
10956518476095642502|455197916236|7010923933|00449836|CREDIT|2023-07-27T00:00:00.000Z|92503|200|FUND TRANSFER|IB|FEMALE|48
10957508643915872229|419900949060|8900771748|00449836|DEBIT|2023-06-01T00:00:00.000Z|160357|4850|PAYMENT|IB|FEMALE|54
10973741033136263097|616253286038|1247511662|00339201|DEBIT|2023-06-16T00:00:00.000Z|165422|176|FUND TRANSFER|IB|FEMALE|62
1099154214109208606|584302038586|5570333082|00449836|DEBIT|2023-07-16T00:00:00.000Z|182533|560|PAYMENT|IB|MALE|45
10999246608128552904|687604407571|5962909511|00339201|CREDIT|2023-06-06T00:00:00.000Z|150318|1250|FUND TRANSFER|IB|MALE|55
11000642412504310202|522718116615|1115484504|00339201|DEBIT|2023-07-14T00:00:00.000Z|170200|200|FUND TRANSFER|IB|MALE|39
11003056216779467650|616253286038|1247511662|00339201|CREDIT|2023-06-07T00:00:00.000Z|180920|700|FUND TRANSFER|IB|FEMALE|62
11006041282603397810|673125233646|2631583662|00339201|DEBIT|2023-06-07T00:00:00.000Z|235653|600|FUND TRANSFER|IB|MALE|63
11013364317265306176|351673304609|5400873305|00339201|DEBIT|2023-08-28T00:00:00.000Z|83938|254.12|FUND TRANSFER|IB|MALE|52
1101338730331409664|268674498118|4732103968|00339201|DEBIT|2023-06-22T00:00:00.000Z|123007|142|FUND TRANSFER|IB|FEMALE|46
11023910068629056388|154598058970|1540947677|00449836|DEBIT|2023-07-13T00:00:00.000Z|145700|10|FUND TRANSFER|IB|FEMALE|55
11030985839530958243|350294564861|1502753028|00339201|CREDIT|2023-07-27T00:00:00.000Z|113019|50|FUND TRANSFER|IB|MALE|54
11056380014215745599|601025939960|3954061307|00339201|DEBIT|2023-08-31T00:00:00.000Z|110115|29.5|FUND TRANSFER|IB|FEMALE|43
11060591072677774099|268674498118|4732103968|00449836|DEBIT|2023-07-06T00:00:00.000Z|154956|106|FUND TRANSFER|IB|FEMALE|46
11085584444382769365|623177710549|7832073932|00339201|DEBIT|2023-06-15T00:00:00.000Z|165429|5000|FUND TRANSFER|IB|MALE|39
11090366608778820612|453766225562|7550198501|00339201|DEBIT|2023-06-22T00:00:00.000Z|134027|250|FUND TRANSFER|IB|MALE|54
11093780894330416427|492064485044|8420219386|00449836|CREDIT|2023-06-21T00:00:00.000Z|120912|246.78|FUND TRANSFER|IB|FEMALE|54
11094660195351390781|888242950686|6202872613|00449836|DEBIT|2023-08-15T00:00:00.000Z|71928|200|PAYMENT|IB|MALE|57
11106705796334464277|463122589215|9926739320|00339201|DEBIT|2023-07-26T00:00:00.000Z|190706|1000|FUND TRANSFER|IB|FEMALE|53
1110760344877585320|302549400078|7304841028|00339201|CREDIT|2023-08-25T00:00:00.000Z|90618|500|FUND TRANSFER|IB|MALE|48
11114719724298827052|976461201839|2456185095|00449836|DEBIT|2023-08-12T00:00:00.000Z|192718|150|PAYMENT|IB|FEMALE|46
11134938618212657989|492064485044|8420219386|00449836|DEBIT|2023-08-13T00:00:00.000Z|135023|674.86|FUND TRANSFER|IB|FEMALE|54
11150979461854782718|715449380839|5966480471|00449836|DEBIT|2023-06-27T00:00:00.000Z|151241|15.5|PAYMENT|IB|MALE|64
11152256889570227622|635372797039|4771336044|00449836|CREDIT|2023-06-20T00:00:00.000Z|135446|2700|FUND TRANSFER|IB|FEMALE|51
1115741377575166842|535212473978|8744047562|00339201|DEBIT|2023-06-19T00:00:00.000Z|164552|1500|FUND TRANSFER|IB|MALE|40
11160772046128557584|449213583433|4825468780|00449836|DEBIT|2023-08-06T00:00:00.000Z|201134|240|FUND TRANSFER|IB|MALE|51
1116213761513165229|284349271485|2652412836|00449836|DEBIT|2023-07-30T00:00:00.000Z|105409|100|FUND TRANSFER|IB|MALE|52
11166964741103390822|640599347910|7533323698|00449836|CREDIT|2023-07-06T00:00:00.000Z|33718|65|FUND TRANSFER|IB|MALE|65
111675026066074058|841248765885|1614989927|00339201|DEBIT|2023-07-06T00:00:00.000Z|174648|2500|FUND TRANSFER|IB|MALE|45
11194238107468863702|823446475077|2681440854|00339201|DEBIT|2023-07-01T00:00:00.000Z|133916|16|FUND TRANSFER|IB|FEMALE|50
11200774454192303487|687604407571|5962909511|00339201|DEBIT|2023-07-03T00:00:00.000Z|121551|530|FUND TRANSFER|IB|MALE|55
11204329173118581981|847156074323|7223055588|00339201|CREDIT|2023-08-25T00:00:00.000Z|195019|500|FUND TRANSFER|IB|MALE|60
11236090872842793508|975681872782|8377869784|00449836|DEBIT|2023-06-17T00:00:00.000Z|154756|30|FUND TRANSFER|IB|MALE|53
11240590381333317063|869846809051|7848429970|00339201|DEBIT|2023-06-03T00:00:00.000Z|100940|1680|FUND TRANSFER|IB|MALE|58
11245311974804251987|449213583433|4825468780|00339201|DEBIT|2023-07-20T00:00:00.000Z|132255|150|FUND TRANSFER|IB|MALE|51
11246716495037345717|530374001406|2854104473|00449836|DEBIT|2023-06-07T00:00:00.000Z|193907|210|FUND TRANSFER|IB|MALE|52
112479990680457433|461697795470|4349273411|00339201|DEBIT|2023-08-30T00:00:00.000Z|102508|2500|FUND TRANSFER|IB|MALE|56
11253698777993305078|893984870415|3919077928|00339201|CREDIT|2023-07-13T00:00:00.000Z|182253|200|FUND TRANSFER|IB|MALE|53
11259564348445195666|616253286038|1247511662|00339201|CREDIT|2023-08-29T00:00:00.000Z|33714|920|FUND TRANSFER|IB|FEMALE|62
11262508659857473367|321747212252|2967400153|00339201|DEBIT|2023-06-02T00:00:00.000Z|45219|2093|FUND TRANSFER|IB|MALE|60
11262990859046154998|715449380839|5966480471|00449836|DEBIT|2023-07-14T00:00:00.000Z|130151|160|PAYMENT|IB|MALE|64
11269593516665595085|616253286038|1247511662|00449836|DEBIT|2023-07-03T00:00:00.000Z|95420|200|FUND TRANSFER|IB|FEMALE|62
11272066199564476415|975681872782|8377869784|00449836|CREDIT|2023-07-18T00:00:00.000Z|111145|39.9|FUND TRANSFER|IB|MALE|53
1127439503502961665|546573630371|2711720727|00449836|DEBIT|2023-08-08T00:00:00.000Z|70440|20|FUND TRANSFER|IB|FEMALE|60
1127931083809257925|816058604656|7266623245|00449836|CREDIT|2023-06-20T00:00:00.000Z|130846|100|FUND TRANSFER|IB|MALE|54
11280895133692240424|584302038586|5570333082|00449836|DEBIT|2023-07-07T00:00:00.000Z|155515|94.64|FUND TRANSFER|IB|MALE|45
1130008248892146234|453766225562|7550198501|00449836|DEBIT|2023-06-13T00:00:00.000Z|150128|980|FUND TRANSFER|IB|MALE|54
1130553213532957719|639200231916|5477187939|00339201|DEBIT|2023-07-21T00:00:00.000Z|131416|2000|FUND TRANSFER|IB|FEMALE|48
11306758145853245004|568575048767|5580577262|00339201|DEBIT|2023-06-14T00:00:00.000Z|101530|500|FUND TRANSFER|IB|FEMALE|65
11324449162025012876|209196571499|8470047487|00339201|DEBIT|2023-08-29T00:00:00.000Z|90617|138|FUND TRANSFER|IB|MALE|54
1132758989286082763|914774406858|8495957670|00449836|DEBIT|2023-08-06T00:00:00.000Z|212225|200|FUND TRANSFER|IB|MALE|63
11338693323960186529|640599347910|7533323698|00339201|CREDIT|2023-08-06T00:00:00.000Z|223018|15|FUND TRANSFER|IB|MALE|65
1134269163541983669|362298714145|3051976433|00339201|DEBIT|2023-06-23T00:00:00.000Z|152849|1000|FUND TRANSFER|IB|MALE|52
11344804995577318954|545603642451|1569132284|00449836|DEBIT|2023-08-29T00:00:00.000Z|122020|48|FUND TRANSFER|IB|MALE|36
11347657502828666|284349271485|2652412836|00449836|DEBIT|2023-06-28T00:00:00.000Z|83412|250|FUND TRANSFER|IB|MALE|52
11348986526160597776|455197916236|7010923933|00449836|CREDIT|2023-08-06T00:00:00.000Z|122640|85|FUND TRANSFER|IB|FEMALE|48
